device_number,epoch_time_utc,active_seconds,device_coherence,significance
337,1775025479,3600,85.3772,Normal
337,1775025539,3600,98.6128,Normal
337,1775025599,3600,52.5717,Normal
337,1775025659,3600,52.7093,Normal
337,1775025719,3600,73.3937,Normal
337,1775025779,3600,54.7928,Normal
337,1775025839,3600,44.3707,Normal
337,1775025899,3600,4.7924,Normal
337,1775025959,3600,9.9353,Normal
337,1775026019,3600,34.7246,Normal
337,1775026079,3600,94.3764,Normal
337,1775026139,3600,70.8615,Normal
337,1775026199,3600,84.2441,Normal
337,1775026259,3600,74.7379,Normal
337,1775026319,3600,91.5454,Normal
337,1775026379,3600,88.7933,Normal
337,1775026439,3600,56.489,Normal
337,1775026499,3600,52.8836,Normal
337,1775026559,3600,47.3504,Normal
337,1775026619,3600,51.4311,Normal
337,1775026679,3600,60.3784,Normal
337,1775026739,3600,44.509,Normal
337,1775026799,3600,76.4998,Normal
337,1775026859,3600,48.5255,Normal
337,1775026919,3600,38.3271,Normal
337,1775026979,3600,84.9135,Normal
337,1775027039,3600,104.6979,Normal
337,1775027099,3600,79.3857,Normal
337,1775027159,3600,65.5388,Normal
337,1775027219,3600,96.2987,Normal
337,1775027279,3600,120.363,Normal
337,1775027339,3600,162.8168,Normal
337,1775027399,3600,126.4103,Normal
337,1775027459,3600,96.4574,Normal
337,1775027519,3600,106.5069,Normal
337,1775027579,3600,82.1987,Normal
337,1775027639,3600,86.6737,Normal
337,1775027699,3600,100.0524,Normal
337,1775027759,3600,107.4134,Normal
337,1775027819,3600,132.4798,Normal
337,1775027879,3600,123.6677,Normal
337,1775027939,3600,95.4617,Normal
337,1775027999,3600,89.2412,Normal
337,1775028059,3600,73.951,Normal
337,1775028119,3600,54.7078,Normal
337,1775028179,3600,48.4954,Normal
337,1775028239,3600,86.9185,Normal
337,1775028299,3600,75.4539,Normal
337,1775028359,3600,65.9519,Normal
337,1775028419,3600,22.4837,Normal
337,1775028479,3600,35.9618,Normal
337,1775028539,3600,42.4721,Normal
337,1775028599,3600,44.8308,Normal
337,1775028659,3600,5.8649,Normal
337,1775028719,3600,1.6548,Normal
337,1775028779,3600,31.3542,Normal
337,1775028839,3600,69.6301,Normal
337,1775028899,3600,32.1043,Normal
337,1775028959,3600,8.9996,Normal
337,1775029019,3600,9.1986,Normal
337,1775029079,3600,67.563,Normal
337,1775029139,3600,22.0099,Normal
337,1775029199,3600,5.7709,Normal
337,1775029259,3600,27.796,Normal
337,1775029319,3600,22.0177,Normal
337,1775029379,3600,28.1643,Normal
337,1775029439,3600,44.3136,Normal
337,1775029499,3600,37.2277,Normal
337,1775029559,3600,30.6395,Normal
337,1775029619,3600,7.2321,Normal
337,1775029679,3600,45.3836,Normal
337,1775029739,3600,18.3195,Normal
337,1775029799,3600,50.4759,Normal
337,1775029859,3600,52.6622,Normal
337,1775029919,3600,72.4537,Normal
337,1775029979,3600,67.4525,Normal
337,1775030039,3600,21.9633,Normal
337,1775030099,3600,37.004,Normal
337,1775030159,3600,31.4908,Normal
337,1775030219,3600,54.9477,Normal
337,1775030279,3600,27.3881,Normal
337,1775030339,3600,18.6917,Normal
337,1775030399,3600,22.7557,Normal
337,1775030459,3600,34.9083,Normal
337,1775030519,3600,7.3656,Normal
337,1775030579,3600,10.7645,Normal
337,1775030639,3600,50.6999,Normal
337,1775030699,3600,32.6028,Normal
337,1775030759,3600,29.7291,Normal
337,1775030819,3600,52.4411,Normal
